"","AnimalID","Cohort","Mouse","Sex","Condition","BrainRegion","Subregion","Area","TrainCounts","Density"
"171","LPS7_mouse2","LPS7","mouse2","M","1xLPS","STR","NA",1319292.93931988,0,0
"172","LPS7_mouse4","LPS7","mouse4","M","1xLPS","HC","CA1",957424.183183892,0,0
"173","LPS7_mouse4","LPS7","mouse4","M","1xLPS","HC","CA2",137261.640791891,0,0
"174","LPS7_mouse4","LPS7","mouse4","M","1xLPS","HC","CA3",376712.988173632,0,0
"175","LPS7_mouse4","LPS7","mouse4","M","1xLPS","HC","DG",642314.203426921,0,0
"176","LPS7_mouse4","LPS7","mouse4","M","1xLPS","FC","FC",1211833.52243467,2,1.65039171055595e-06
"177","LPS7_mouse4","LPS7","mouse4","M","1xLPS","STR","CP",2359666.62986672,2,8.47577354650715e-07
"178","LPS7_mouse4","LPS7","mouse4","M","1xLPS","STR","NA",1460331.25863673,0,0
"179","LPS7_mouse5","LPS7","mouse5","M","2xLPS","HC","CA1",903895.587757972,10,1.10632247080706e-05
"180","LPS7_mouse5","LPS7","mouse5","M","2xLPS","HC","CA2",169574.925489344,2,1.17941965430831e-05
"181","LPS7_mouse5","LPS7","mouse5","M","2xLPS","HC","CA3",412571.62917623,2,4.84764307229109e-06
"182","LPS7_mouse5","LPS7","mouse5","M","2xLPS","HC","DG",460095.247652834,3,6.52038901793582e-06
"183","LPS7_mouse5","LPS7","mouse5","M","2xLPS","FC","FC",1786775.92153832,15,8.39500903229423e-06
"184","LPS7_mouse5","LPS7","mouse5","M","2xLPS","STR","CP",1791423.4912516,11,6.14036829019961e-06
"185","LPS7_mouse5","LPS7","mouse5","M","2xLPS","STR","NA",1769753.98621024,14,7.91070403518607e-06
"186","LPS7_mouse6","LPS7","mouse6","M","2xLPS","FC","FC",1282208.92431174,8,6.23923281792335e-06
"187","LPS7_mouse7","LPS7","mouse7","M","2xLPS","HC","CA1",1032993.56109531,8,7.74448196125965e-06
"188","LPS7_mouse7","LPS7","mouse7","M","2xLPS","HC","CA2",116557.668358469,1,8.57944409907493e-06
"189","LPS7_mouse7","LPS7","mouse7","M","2xLPS","HC","CA3",521958.097467102,1,1.9158626043981e-06
"190","LPS7_mouse7","LPS7","mouse7","M","2xLPS","HC","DG",594480.042792202,2,3.36428451089163e-06
"191","LPS7_mouse7","LPS7","mouse7","M","2xLPS","STR","CP",2607236.33089831,13,4.98612260267213e-06
"192","LPS7_mouse7","LPS7","mouse7","M","2xLPS","STR","NA",1470590.55752564,6,4.07999355721103e-06
"193","LPS7_mouse8","LPS7","mouse8","M","3xLPS","HC","CA1",1083779.87913722,5,4.61348295557987e-06
"194","LPS7_mouse8","LPS7","mouse8","M","3xLPS","HC","CA2",127974.634612321,2,1.56280969745191e-05
"195","LPS7_mouse8","LPS7","mouse8","M","3xLPS","HC","CA3",432912.140532757,0,0
"196","LPS7_mouse8","LPS7","mouse8","M","3xLPS","HC","DG",617551.529488205,2,3.23859614056417e-06
"197","LPS7_mouse8","LPS7","mouse8","M","3xLPS","FC","FC",1512883.6531697,9,5.94890425390199e-06
"198","LPS7_mouse8","LPS7","mouse8","M","3xLPS","STR","CP",3245577.07347354,6,1.84866970161906e-06
"199","LPS7_mouse8","LPS7","mouse8","M","3xLPS","STR","NA",1261821.40912516,0,0
